Name,ID,ParentID
Abeto Mirasol Taft South (Quirino Abeto),R80194639,R3499101
Aguinaldo,R80194612,R3499101
Airport (Tabucan Airport),R80194563,R3499101
Alalasan Lapuz,R80194549,R3499101
Arguelles,R80194585,R3499101
Arsenal Aduana,R80194702,R3499101
Bakhaw,R80194600,R3499101
Balabago,R80194676,R3499101
Balantang,R80194640,R3499101
Baldoza,R80194668,R3499101
Bantud,R80194586,R3499101
Banuyao,R80194681,R3499101
Baybay Tanza,R80194664,R3499101
Benedicto (Jaro),R80194633,R3499101
Bito-On,R80194653,R3499101
Bolilao,R80194654,R3499101
Bonifacio (Arevalo),R80194665,R3499101
Bonifacio Tanza,R80194687,R3499101
Buhang,R80194673,R3499101
Buhang Taft North,R80194589,R3499101
Buntatala,R80194714,R3499101
Burgos-Mabini-Plaza,R80194579,R3499101
Caingin,R80194703,R3499101
Calahunan,R80194715,R3499101
Calaparan,R80194719,R3499101
Calubihan,R80194564,R3499101
Calumpang,R80194696,R3499101
Camalig,R80194613,R3499101
Cochero,R80194580,R3499101
Compania,R80194674,R3499101
Concepcion-Montes,R80194608,R3499101
Cuartero,R80194615,R3499101
Cubay,R80194708,R3499101
Danao,R80194656,R3499101
Delgado-Jalandoni-Bagumbayan,R80194590,R3499101
Democracia,R80194688,R3499101
Desamparados,R80194571,R3499101
Divinagracia,R80194573,R3499101
Don Esteban-Lapuz,R80194572,R3499101
Dulonan,R80194601,R3499101
Dungon,R80194550,R3499101
Dungon A,R80194555,R3499101
Dungon B,R80194647,R3499101
East Baluarte,R80194670,R3499101
East Timawa,R80194658,R3499101
Edganzon,R80194679,R3499101
El 98 Castilla (Claudio Lopez),R80194659,R3499101
Fajardo,R80194574,R3499101
Flores,R80194657,R3499101
General Hughes-Montes,R80194616,R3499101
Gloria,R80194575,R3499101
Gustilo,R80194631,R3499101
Guzman-Jesena,R80194606,R3499101
Habog-Habog Salvacion,R80194697,R3499101
Hibao-An Norte,R80194683,R3499101
Hibao-An Sur,R80194720,R3499101
Hinactacan,R80194709,R3499101
Hipodromo,R80194607,R3499101
Inday,R80194632,R3499101
Infante,R80194557,R3499101
Ingore,R80194648,R3499101
Jalandoni Estate-Lapuz,R80194576,R3499101
Jalandoni-Wilson,R80194660,R3499101
Javellana,R80194710,R3499101
Jereos,R80194541,R3499101
Kahirupan,R80194614,R3499101
Kasingkasing,R80194624,R3499101
Katilingban,R80194684,R3499101
Kauswagan,R80194716,R3499101
Laguda,R80194661,R3499101
Lanit,R80194592,R3499101
Lapuz Norte,R80194641,R3499101
Lapuz Sur,R80194556,R3499101
Legaspi Dela Rama,R80194558,R3499101
Liberation,R80194577,R3499101
Libertad-Lapuz,R80194559,R3499101
Libertad Santa Isabel,R80194671,R3499101
Loboc-Lapuz,R80194634,R3499101
Lopez Jaena (Jaro),R80194543,R3499101
Lopez Jaena Norte,R80194677,R3499101
Lopez Jaena Sur,R80194620,R3499101
Luna (Jaro),R80194694,R3499101
Luna (La Paz),R80194682,R3499101
M. V. Hechanova,R80194581,R3499101
Mabolo-Delgado,R80194655,R3499101
Macarthur,R80194625,R3499101
Magdalo,R80194711,R3499101
Magsaysay,R80194578,R3499101
Magsaysay Village,R80194552,R3499101
Malipayon-Delgado,R80194698,R3499101
Mansaya-Lapuz,R80194650,R3499101
Marcelo H. Del Pilar,R80194626,R3499101
Maria Clara,R80194587,R3499101
Maria Cristina,R80194560,R3499101
Mohon,R80194565,R3499101
Molo Boulevard,R80194712,R3499101
Monica Blumentritt,R80194695,R3499101
Montinola,R80194602,R3499101
Muelle Loney-Montes,R80194566,R3499101
Nabitasan,R80194704,R3499101
Navais,R80194544,R3499101
Nonoy,R80194642,R3499101
North Avancena,R80194705,R3499101
North Baluarte,R80194643,R3499101
North Fundidor,R80194627,R3499101
North San Jose,R80194594,R3499101
Obrero-Lapuz,R80194717,R3499101
Onate De Leon,R80194680,R3499101
Ortiz,R80194689,R3499101
Osmena,R80194635,R3499101
Our Lady Of Fatima,R80194621,R3499101
Our Lady Of Lourdes,R80194595,R3499101
Pale Benedicto Rizal (Mandurriao),R80194651,R3499101
Phhc Block 17,R80194609,R3499101
Phhc Block 22 Nha,R80194596,R3499101
Poblacion Molo,R80194553,R3499101
President Roxas,R80194662,R3499101
Progreso-Lapuz,R80194669,R3499101
Punong-Lapuz,R80194545,R3499101
Quezon,R80194567,R3499101
Quintin Salas,R80194690,R3499101
Railway,R80194636,R3499101
Rima-Rizal,R80194610,R3499101
Rizal (La Paz),R80194597,R3499101
Rizal Estanzuela,R80194568,R3499101
Rizal Ibarra,R80194598,R3499101
Rizal Palapala I,R80194546,R3499101
Rizal Palapala Ii,R80194628,R3499101
Roxas Village,R80194569,R3499101
Sambag,R80194554,R3499101
Sampaguita,R80194675,R3499101
San Agustin,R80194582,R3499101
San Antonio,R80194547,R3499101
San Felix,R80194603,R3499101
San Isidro (Jaro),R80194604,R3499101
San Isidro (La Paz),R80194588,R3499101
San Jose (Arevalo),R80194593,R3499101
San Jose (City Proper),R80194548,R3499101
San Jose (Jaro),R80194637,R3499101
San Juan,R80194591,R3499101
San Nicolas,R80194663,R3499101
San Pedro (Jaro),R80194622,R3499101
San Pedro (Molo),R80194691,R3499101
San Rafael,R80194672,R3499101
San Roque,R80194623,R3499101
Santa Cruz,R80194699,R3499101
Santa Filomena,R80194561,R3499101
Santa Rosa,R80194700,R3499101
Santo Domingo,R80194652,R3499101
Santo Nino Norte,R80194644,R3499101
Santo Nino Sur,R80194701,R3499101
Santo Rosario-Duran,R80194718,R3499101
San Vicente,R80194706,R3499101
Seminario (Burgos Jalandoni),R80194645,R3499101
Simon Ledesma,R80194551,R3499101
Sinikway (Bangkerohan Lapuz),R80194667,R3499101
So-Oc,R80194646,R3499101
South Baluarte,R80194678,R3499101
South Fundidor,R80194611,R3499101
South San Jose,R80194583,R3499101
Taal,R80194685,R3499101
Tabucan,R80194707,R3499101
Tabuc Suba (Jaro),R80194692,R3499101
Tabuc Suba (La Paz),R80194629,R3499101
Tacas,R80194638,R3499101
Tagbac,R80194713,R3499101
Tanza-Esperanza,R80194570,R3499101
Tap-Oc,R80194599,R3499101
Taytay Zone Ii,R80194617,R3499101
Ticud (La Paz),R80194584,R3499101
Timawa Tanza I,R80194605,R3499101
Timawa Tanza Ii,R80194630,R3499101
Ungka,R80194618,R3499101
Veterans Village,R80194666,R3499101
Villa Anita,R80194686,R3499101
West Habog-Habog,R80194542,R3499101
West Timawa,R80194649,R3499101
Yulo-Arroyo,R80194619,R3499101
Yulo Drive,R80194562,R3499101
Zamora-Melliza,R80194693,R3499101